,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
54,1,0,0,0,0,0,0,1,12,21,1,0,35,35,0,0,0,0,0,1,5,0,1,0,3,5,0
55,1,0,0,0,0,0,0,1,28,44,1,0,74,74,0,0,0,0,3,3,9,0,1,0,7,15,0
56,1,0,0,0,0,0,0,1,9,24,1,22,33,55,0,0,0,0,0,2,5,0,1,0,3,6,0
57,1,0,0,0,0,0,0,1,9,24,1,22,33,55,0,0,0,0,0,2,4,0,1,0,2,6,0
58,1,0,0,0,0,0,0,1,42,102,11,70,161,231,2,0,0,0,3,14,5,0,1,7,3,39,0
59,1,0,0,0,0,0,0,1,24,52,2,0,76,76,1,0,0,1,2,6,5,0,1,1,3,16,0
60,1,0,0,6,1,0,0,0,7,18,1,0,25,25,0,0,0,0,0,1,4,0,1,0,2,4,0
61,1,0,0,0,0,0,0,0,21,35,1,0,56,56,0,0,0,0,0,2,7,0,1,0,5,8,0
62,1,0,0,0,0,0,0,0,12,20,1,0,34,34,0,0,0,0,0,1,5,0,1,0,3,5,0
63,1,0,0,0,0,0,0,0,12,20,1,0,34,34,0,0,0,0,0,1,4,0,1,0,2,5,0
64,1,0,0,154,0,0,0,1,11,26,1,0,38,38,0,0,0,0,0,3,7,0,1,0,5,10,0
65,1,0,0,0,0,0,0,1,52,76,4,64,128,192,1,0,0,0,0,5,3,0,1,3,1,14,0
66,1,0,0,0,0,0,0,1,10,23,1,0,33,33,0,0,0,0,0,4,3,0,1,0,1,6,0
67,1,0,0,0,0,0,0,1,13,25,1,0,38,38,0,0,0,0,0,4,3,0,1,0,1,6,0
68,1,0,0,0,0,0,0,1,59,74,4,64,133,197,1,0,0,0,0,5,3,0,1,3,1,14,0
69,0,0,0,0,0,0,0,1,22,41,1,0,67,67,0,0,0,0,1,1,10,0,1,0,8,11,0
70,1,0,0,1,0,0,0,1,25,50,1,0,79,79,0,0,0,0,1,2,10,0,1,0,8,13,0
71,0,0,0,1,0,0,0,0,14,28,1,3,42,45,0,0,0,0,0,3,3,0,1,0,1,6,0
72,1,0,0,1,0,0,0,0,15,31,1,3,46,49,0,0,0,0,0,3,3,0,1,0,1,6,0
73,1,0,0,1,0,0,0,0,14,27,1,3,41,44,0,0,0,0,0,3,3,0,1,0,1,6,0
74,0,0,0,0,0,0,0,0,7,27,1,13,34,47,0,0,0,0,3,2,4,0,1,0,2,8,0
75,0,0,0,0,0,0,0,1,7,28,1,13,35,48,0,0,0,0,3,2,3,0,1,0,1,8,0
76,4,0,0,5,0,0,0,1,12,25,1,24,37,61,0,0,0,0,1,1,4,0,1,0,2,6,0
77,4,0,0,5,0,0,0,1,9,20,1,0,29,29,0,0,0,0,1,1,3,0,1,0,1,5,0
78,4,0,0,5,0,0,0,1,12,27,1,22,39,61,0,0,0,0,1,1,5,0,1,0,3,6,0
79,1,0,0,1,0,0,0,1,11,24,1,8,35,43,0,0,0,0,2,3,3,0,1,0,1,8,0
80,1,0,0,0,0,0,0,0,10,22,1,0,33,33,0,0,0,0,0,1,4,0,1,0,2,5,0
81,0,0,0,1,0,0,0,1,11,18,1,0,29,29,0,0,0,0,1,2,3,0,1,0,1,5,0
82,0,0,0,1,0,0,0,1,7,14,1,0,21,21,0,0,0,0,1,1,4,0,1,0,2,5,0
83,2,0,0,175,0,0,0,1,12,23,1,0,35,35,0,0,0,0,0,3,4,0,1,0,2,7,0
84,0,0,0,1,0,0,0,1,9,16,1,0,25,25,0,0,0,0,2,2,3,0,1,0,1,6,0
85,0,0,0,1,0,0,0,1,7,15,1,0,22,22,0,0,0,0,1,1,4,0,1,0,2,5,0
86,0,0,0,1,0,0,0,1,9,18,1,0,27,27,0,0,0,0,1,2,3,0,1,0,1,5,0
87,0,0,0,1,0,0,0,1,10,18,1,0,28,28,0,0,0,0,1,2,3,0,1,0,1,5,0
88,0,0,0,1,0,0,0,1,11,21,2,0,32,32,0,0,0,0,0,1,5,0,1,0,3,5,0
