,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
54,2,0,0,61,0,0,1,1,4,11,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
55,2,0,0,34,0,0,1,1,3,16,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
56,2,0,2,57,4,0,1,1,2,15,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
57,0,0,0,4,0,0,1,1,6,24,1,0,30,30,0,0,0,0,0,2,2,1,1,0,0,4,1
58,0,0,1,50,1,0,1,1,1,11,1,1,12,13,0,0,0,0,0,2,2,1,1,0,0,4,1
59,1,0,3,15,3,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
60,0,0,0,0,0,0,1,1,3,11,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
61,1,0,0,26,0,0,1,1,6,12,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
62,1,0,0,31,0,0,1,1,5,13,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
63,2,0,4,137,4,0,1,1,3,13,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
64,0,0,0,151,0,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
65,1,0,0,23,1,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
66,0,0,0,16,0,0,1,1,1,10,1,3,11,14,0,0,0,0,0,2,2,1,1,0,0,4,1
67,0,0,0,0,0,0,1,1,5,14,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
68,15,0,0,210,4,0,1,1,6,15,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
69,1,0,0,12,0,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
70,0,0,1,94,1,0,1,1,4,12,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
71,2,0,0,9,0,0,1,1,4,17,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
72,4,0,1,37,4,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
73,0,0,0,19,0,0,1,1,3,19,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
74,1,0,1,10,1,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
